Entity,Label
坦克300,CarModel
变速箱,Unit
漏油,Failure
异响,Failure
电机,Unit
发动机,Unit
长安星卡,CarModel
星越S,CarModel
马自达3 昂克赛拉,CarModel
奔驰GLE,CarModel
锐界,CarModel
型格,CarModel
奥迪Q3,CarModel
迈腾,CarModel
思域,CarModel
奔腾X40,CarModel
燃油泵,Unit
抖动,Failure
福睿斯,CarModel
科沃兹,CarModel
英仕派,CarModel
逍客,CarModel
压力,Feature
起亚K3,CarModel
魏牌 VV5,CarModel
长安欧尚Z6,CarModel
福克斯,CarModel
领动,CarModel
帝豪,CarModel
艾瑞泽8,CarModel
影豹,CarModel
传感器,Unit
汉,CarModel
电池,Unit
动力电池,Unit
长安UNI-T,CarModel
炫丽,CarModel
唐,CarModel
奔奔E-Star,CarModel
卡罗拉,CarModel
域虎7,CarModel
动力受限,Failure
AION Y,CarModel
奥迪A3,CarModel
极氪001,CarModel
亚洲龙,CarModel
捷达VS7,CarModel
博越,CarModel
君威,CarModel
标致408,CarModel
奕炫MAX,CarModel
空调,Unit
转速,Feature
奔腾T77,CarModel
星途追风ET-i,CarModel
宝马5系,CarModel
探岳,CarModel
哈弗H7,CarModel
长安CS75 PLUS,CarModel
探界者,CarModel
宋PLUS新能源,CarModel
宋Pro新能源,CarModel
金刚炮,CarModel
北京现代ix35,CarModel
维特拉,CarModel
转向机,Unit
冷却系统,Unit
元PLUS,CarModel
本田XR-V,CarModel
奇骏,CarModel
艾力绅,CarModel
凌派,CarModel
朗逸,CarModel
天籁,CarModel
长安UNI-V 智电iDD,CarModel
长安CS35 PLUS,CarModel
奥迪A8,CarModel
瑞虎8 PRO,CarModel
蒙迪欧,CarModel
传祺M8,CarModel
君越,CarModel
长安CS55 PLUS,CarModel
凯越,CarModel
凌渡,CarModel
本田CR-V,CarModel
帕萨特,CarModel
奥迪A4L,CarModel
凯美瑞,CarModel
凯迪拉克XT5,CarModel
名爵ZS,CarModel
电压,Feature
无法启动,Failure
温度,Feature
领界,CarModel
速腾,CarModel
助力泵,Unit
缤智,CarModel
高尔夫,CarModel
欧蓝德,CarModel
轴承,Unit
断裂,Failure
星越L,CarModel
劲客,CarModel
赛拉图,CarModel
冠道,CarModel
星瑞,CarModel
汉兰达,CarModel
哥瑞,CarModel
探岳GTE插电混动,CarModel
途胜,CarModel
欧马可,CarModel
宏光MINIEV,CarModel
AION V,CarModel
控制器,Unit
瑞虎8,CarModel
五菱之光,CarModel
花冠,CarModel
途观L,CarModel
飞凡R7,CarModel
昂科威,CarModel
奔驰E级,CarModel
电流,Feature
熄火,Failure
雪铁龙C6,CarModel
宝马3系,CarModel
阅朗,CarModel
奥迪Q5L,CarModel
起亚K5,CarModel
宝马6系GT,CarModel
马自达CX-4,CarModel
豪越L,CarModel
宝沃BX7,CarModel
俊风ER30,CarModel
报警,Failure
享域,CarModel
奔腾T99,CarModel
威朗,CarModel
起亚K4,CarModel
长安UNI-K 智电iDD,CarModel
卡罗拉锐放,CarModel
探岳X,CarModel
标致301,CarModel
长安CS75,CarModel
宝马X3,CarModel
奥迪A6L,CarModel
速派,CarModel
骊威,CarModel
红旗HS5,CarModel
奥拓,CarModel
风骏5,CarModel
迈锐宝XL,CarModel
哈弗H5,CarModel
水泵,Unit
瑞虎8 PLUS,CarModel
轩逸,CarModel
缤瑞,CarModel
雷凌,CarModel
优优EV,CarModel
帝豪GS,CarModel
捷达VS5,CarModel
风骏7,CarModel
宝骏730,CarModel
C4世嘉,CarModel
卡死,Failure
频率,Feature
探险者,CarModel
YARiS L 致炫,CarModel
领克03,CarModel
博越L,CarModel
五菱宏光,CarModel
宝骏RS-3,CarModel
奔腾T55,CarModel
凯迪拉克CT5,CarModel
传祺GS8,CarModel
马自达3,CarModel
宝来,CarModel
捷达VA3,CarModel
奥德赛,CarModel
奔腾B70,CarModel
魏牌 VV7 GT,CarModel
锋范,CarModel
狮铂拓界,CarModel
降低,Failure
长安CS95,CarModel
福瑞达,CarModel
远景X6,CarModel
锐志,CarModel
北京X7,CarModel
AION S,CarModel
雅阁,CarModel
标致508,CarModel
翼搏,CarModel
途昂,CarModel
哈弗神兽,CarModel
雨燕,CarModel
奔驰S级,CarModel
ID.4 CROZZ,CarModel
飞度,CarModel
锐程CC,CarModel
缤越,CarModel
欧拉好猫,CarModel
功率,Feature
凯迪拉克ATS-L,CarModel
皓极,CarModel
逸动,CarModel
英朗,CarModel
锋兰达,CarModel
众泰T600,CarModel
柯迪亚克,CarModel
启悦,CarModel
高温,Failure
宝骏560,CarModel
传祺GS4,CarModel
名爵HS,CarModel
星途凌云,CarModel
途达,CarModel
豪越,CarModel
智跑,CarModel
阿特兹,CarModel
宝骏530,CarModel
昂科拉,CarModel
奔驰GLC,CarModel
RAV4荣放,CarModel
锐程PLUS,CarModel
差速器,Unit
捷途X90 PLUS,CarModel
奇骏·荣耀,CarModel
风光580,CarModel
万用表,DetectionTool
名爵6,CarModel
诊断仪,DetectionTool
示波器,DetectionTool
秦PLUS,CarModel
皓影,CarModel
北京BJ40,CarModel
雪铁龙C4L,CarModel
威飒,CarModel
库斯途,CarModel
长安深蓝SL03,CarModel
艾瑞泽GX,CarModel
哈弗H6,CarModel
嘉年华,CarModel
东南DX7,CarModel
皇冠陆放,CarModel
T-ROC探歌,CarModel
野马T70,CarModel
悦动,CarModel
本田CR-V新能源,CarModel
宝马X1,CarModel
星迈罗,CarModel
领克01,CarModel
帝豪GL,CarModel
伊兰特,CarModel
SWM斯威G01,CarModel
宝马X5,CarModel
途岳,CarModel
中华V7,CarModel
迈锐宝,CarModel
奥迪Q5,CarModel
荣威RX5,CarModel
标致3008,CarModel
景逸X6,CarModel
艾瑞泽5 PLUS,CarModel
东风风神E70,CarModel
君马S70,CarModel
名爵5,CarModel
明锐,CarModel
哈弗H2,CarModel
威驰,CarModel
别克GL8,CarModel
途锐,CarModel
威兰达,CarModel
长安欧尚Z6智电iDD,CarModel
甲壳虫,CarModel
唐新能源,CarModel
哈弗F5,CarModel
艾瑞泽5,CarModel
瑞虎5x,CarModel
科鲁泽,CarModel
海豚,CarModel
哈弗H2s,CarModel
五菱星辰,CarModel
风光580Pro,CarModel
驱逐舰05,CarModel
红旗H5,CarModel
EVOS,CarModel
液面,Feature
哈弗赤兔,CarModel
揽胜,CarModel
瑞虎7 PLUS,CarModel
哈弗大狗,CarModel
途观,CarModel
标致308,CarModel
蒙迪欧致胜,CarModel
ID.4 X,CarModel
辉昂,CarModel
哈弗H6S,CarModel
瑞虎7,CarModel
瑞纳,CarModel
分离器,Unit
嘉际,CarModel
北京现代ix25,CarModel
秦,CarModel
力帆520,CarModel
指南者,CarModel
远景,CarModel
沃尔沃XC60,CarModel
长安UNI-K,CarModel
科鲁兹,CarModel
奕泽IZOA,CarModel
EV系列,CarModel
森雅R7,CarModel
起亚K2,CarModel
威驰FS,CarModel
途昂X,CarModel
凌尚,CarModel
奔驰C级,CarModel
荣威i5,CarModel
传祺GA6,CarModel
标致4008,CarModel
零跑C01,CarModel
星越,CarModel
标致5008,CarModel
哈弗H6 Coupe,CarModel
嘉悦A5,CarModel
宋PLUS,CarModel
杰德,CarModel
冒险家,CarModel
奥迪Q2L,CarModel
宋Pro,CarModel
绅宝D50,CarModel
宝马5系新能源,CarModel
纳米BOX,CarModel
领克06,CarModel
理想L9,CarModel
祥菱V,CarModel
悦纳,CarModel
V3菱悦,CarModel
五菱宏光S3,CarModel
风行游艇,CarModel
锐际,CarModel
大迈X5,CarModel
红旗H9,CarModel
传祺M6,CarModel
奔腾B50,CarModel
爱丽舍,CarModel
瑞风M4,CarModel
Model 3,CarModel
皇冠,CarModel
ID.6 CROZZ,CarModel
森林人,CarModel
风光500,CarModel
菲斯塔,CarModel
索纳塔,CarModel
沃尔沃S90,CarModel
魏牌 VV6,CarModel
凯迪拉克CT6,CarModel
本田UR-V,CarModel
领克05,CarModel
远景X3,CarModel
途铠,CarModel
雷克萨斯ES,CarModel
远景S1,CarModel
江淮iEV6E,CarModel
帅客,CarModel
景程,CarModel
启辰D60,CarModel
小蚂蚁,CarModel
奔驰CLA,CarModel
颐达,CarModel
Model Y,CarModel
锐行,CarModel
上汽大通MAXUS V90,CarModel
几何E,CarModel
哈弗初恋,CarModel
YARiS L 致享,CarModel
歌诗图,CarModel
炮,CarModel
东风EV新能源EX1,CarModel
奥迪Q7,CarModel
航海家,CarModel
全新胜达（进口）,CarModel
长安CS55,CarModel
众泰T700,CarModel
长安欧尚X70A,CarModel
瑞风S3,CarModel
Macan,CarModel
速锐,CarModel
瑞风S5,CarModel
迈腾GTE插电混动,CarModel
睿蓝汽车X3 PRO,CarModel
哈弗F7,CarModel
马自达CX-30,CarModel
梦想家,CarModel
长安UNI-K新能源,CarModel
雷丁芒果,CarModel
江淮iEVS4,CarModel
奔驰B级,CarModel
捷豹XE,CarModel
科莱威CLEVER,CarModel
ZEEKR 001,CarModel
昕锐,CarModel
猎豹CS9,CarModel
领克09新能源,CarModel
ID.6 X,CarModel
哈弗H9,CarModel
魏牌 VV7,CarModel
北京EU5,CarModel
翼虎,CarModel
捷途X90,CarModel
MG ONE,CarModel
smart精灵#1,CarModel
风神AX7,CarModel
领克09,CarModel
奥迪A4,CarModel
亚洲狮,CarModel
骐达TIIDA,CarModel
长安欧尚X7,CarModel
红旗HS7,CarModel
星途揽月,CarModel
比亚迪F3,CarModel
海豹,CarModel
福美来,CarModel
长安UNI-V,CarModel
宝骏360,CarModel
北汽新能源EU,CarModel
雷克萨斯IS,CarModel
奔驰A级（进口）,CarModel
大众ID.3,CarModel
宝马1系,CarModel
威然,CarModel
吉利GX7,CarModel
熊猫,CarModel
宝马7系,CarModel
荣威360,CarModel
思铂睿,CarModel
威旺M20,CarModel
五菱荣光,CarModel
极狐 阿尔法T(ARCFOX αT),CarModel
睿翼,CarModel
自由光,CarModel
问界M7,CarModel
埃尔法,CarModel
桑塔纳,CarModel
宋,CarModel
海马M3,CarModel
小海狮X30,CarModel
比亚迪F3R,CarModel
RAV4荣放双擎E+,CarModel
上汽大通MAXUS G10,CarModel
朗动,CarModel
金杯T32,CarModel
威旺M50F,CarModel
赛欧,CarModel
转换器,Unit
风行SX6,CarModel
捷达,CarModel
元Pro,CarModel
红旗H5经典,CarModel
比亚迪S7,CarModel
昊锐,CarModel
揽巡,CarModel
帝豪L 雷神Hi·P,CarModel
荣威RX5 MAX,CarModel
神行者2,CarModel
花仙子,CarModel
昂科旗,CarModel
森雅M80,CarModel
领睿,CarModel
特顺,CarModel
奔驰GLA,CarModel
坦克500,CarModel
宝骏510,CarModel
宝骏310W,CarModel
大指挥官,CarModel
蔚来ET7,CarModel
捷豹F-PACE,CarModel
荣威550,CarModel
焕驰,CarModel
东南DX5,CarModel
传祺GA4,CarModel
开拓者,CarModel
Polo,CarModel
沃尔沃XC90,CarModel
凯迪拉克CT4,CarModel
哈弗酷狗,CarModel
名图,CarModel
致悦,CarModel
荣威RX3,CarModel
广汽本田VE-1,CarModel
宋MAX新能源,CarModel
长安CS35,CarModel
奥迪Q5 e-tron,CarModel
众泰T800,CarModel
BMS,Unit
风云2,CarModel
菱智M5EV,CarModel
捷途X70 PLUS,CarModel
启辰D60EV,CarModel
起亚KX5,CarModel
俊风E11K,CarModel
秦新能源,CarModel
广汽丰田bZ4X,CarModel
汉腾X7,CarModel
玛奇朵DHT,CarModel
长安新能源E-Pro,CarModel
时代领航,CarModel
凡尔赛C5 X,CarModel
兰德酷路泽,CarModel
福瑞迪,CarModel
欧拉黑猫,CarModel
捷途X70,CarModel
瑞虎3x,CarModel
标致207,CarModel
长安睿行M60,CarModel
凯迪拉克XT4,CarModel
长安欧尚X5,CarModel
荣威RX8,CarModel
宝马X5（进口）,CarModel
逆变器,Unit
威马E.5,CarModel
蓝鸟,CarModel
揽境,CarModel
高尔夫·嘉旅,CarModel
艾瑞泽7,CarModel
丰田C-HR,CarModel
凌放HARRIER,CarModel
五菱宏光PLUS,CarModel
奕炫,CarModel
骁途,CarModel
博骏,CarModel
艾瑞泽EX,CarModel
马自达CX-5,CarModel
一汽-大众CC,CarModel
奔腾X80,CarModel
世锐PHEV,CarModel
比亚迪e5,CarModel
乐风,CarModel
幻速H3F,CarModel
吉利SC6,CarModel
博瑞,CarModel
五菱荣光新卡,CarModel
比亚迪S6,CarModel
凯迪拉克XTS,CarModel
哈弗M6,CarModel
长安欧尚A800,CarModel
长城M4,CarModel
奔腾B30,CarModel
凯翼C3,CarModel
传祺GS4 PLUS,CarModel
Levante,CarModel
ZR-V 致在,CarModel
KX CROSS,CarModel
宋MAX,CarModel
宝马2系,CarModel
秦Pro,CarModel
零跑T03,CarModel
北京X3,CarModel
奇瑞E5,CarModel
风光MINIEV,CarModel
金刚,CarModel
哪吒V,CarModel
长安Lumin,CarModel
荣威Ei5,CarModel
五菱宏光V,CarModel
菱智PLUS,CarModel
沃尔沃S60,CarModel
逸动DT,CarModel
讴歌CDX,CarModel
自由侠,CarModel
别克GL6,CarModel
悦翔,CarModel
风神S30,CarModel
柯米克,CarModel
哈弗H4,CarModel
揽胜极光,CarModel
风光ix7,CarModel
DS6,CarModel
长城C30,CarModel
朗行,CarModel
图雅诺,CarModel
探影,CarModel
传祺GS3,CarModel
北京BJ20,CarModel
Mattu,CarModel
五菱凯捷,CarModel
宋新能源,CarModel
江淮iC5,CarModel
途安,CarModel
拿铁DHT,CarModel
上汽大通MAXUS G50,CarModel
海马M6,CarModel
重汽豪沃(HOWO),CarModel
摩卡,CarModel
锐腾,CarModel
楼兰,CarModel
奕歌,CarModel
发现运动版,CarModel
瑞风M3,CarModel
翼神,CarModel
远景X1,CarModel
奇瑞A3,CarModel
锋范经典,CarModel
荣威i6,CarModel
上汽大通MAXUS D60,CarModel
奔驰CLS,CarModel
风行T5,CarModel
阳光,CarModel
创酷,CarModel
景逸S50,CarModel
牧马人,CarModel
V5菱致,CarModel
帝豪S,CarModel
东风A9,CarModel
蔚来EC6,CarModel
荣威RX5新能源,CarModel
摇晃,Failure
大众up!,CarModel
长安欧尚CX70,CarModel
小鹏P7,CarModel
捷豹XJ,CarModel
经典帝豪,CarModel
上汽大通MAXUS D90,CarModel
众泰Z500,CarModel
瑞虎3xe,CarModel
世嘉,CarModel
绅宝X35,CarModel
长安CS85 COUPE,CarModel
奔奔EV,CarModel
蔚揽,CarModel
星途追风,CarModel
KX3傲跑,CarModel
SWM斯威X7,CarModel
帕萨特新能源,CarModel
菲翔,CarModel
红旗盛世,CarModel
捷豹XFL,CarModel
讴歌RDX,CarModel
中华H530,CarModel
朗境,CarModel
长城C50,CarModel
奥迪A5,CarModel
风骏6,CarModel
小鹏G3,CarModel
酷威,CarModel
雷克萨斯NX,CarModel
瑞虎3,CarModel
帝豪L,CarModel
名爵6新能源,CarModel
睿骋,CarModel
奕炫GS,CarModel
威志V5,CarModel
QQ冰淇淋,CarModel
拿铁DHT-PHEV,CarModel
宝典,CarModel
EX3 功夫牛,CarModel
哈弗F7x,CarModel
奕跑,CarModel
奔腾B30EV,CarModel
金牛座,CarModel
凯旋,CarModel
凯运,CarModel
荣威i6 MAX,CarModel
帝豪新能源,CarModel
蒙派克S,CarModel
思皓X8,CarModel
长安睿行M80,CarModel
奔驰A级,CarModel
风神E30,CarModel
比亚迪G6,CarModel
荣威iMAX8,CarModel
帕杰罗（进口）,CarModel
昌河Q7,CarModel
宝马X2,CarModel
宝骏KiWi EV,CarModel
帝豪L 雷神Hi·X,CarModel
昕动,CarModel
发现神行,CarModel
凯迪拉克XT6,CarModel
帝豪GSe,CarModel
MG领航,CarModel
凯迪拉克SRX,CarModel
嘉悦X7,CarModel
领克02,CarModel
风光330,CarModel
胜达,CarModel
零跑C11,CarModel
昌河北斗星,CarModel
揽胜星脉,CarModel
祥菱M,CarModel
Cayenne,CarModel
帕里斯帝,CarModel
领裕,CarModel
启辰星,CarModel
捷豹XEL,CarModel
星锐,CarModel
众泰E200,CarModel
中华H230,CarModel
科帕奇,CarModel
大切诺基,CarModel
大切诺基（进口）,CarModel
风行T5L,CarModel
领克05新能源,CarModel
飞行家,CarModel
圣达菲,CarModel
时代驭菱 轻卡,CarModel
跨越王X5,CarModel
风神AX4,CarModel
吉利EC8,CarModel
莲花L3,CarModel
英菲尼迪Q50L,CarModel
宝骏RS-5,CarModel
摩卡DHT-PHEV,CarModel
金杯海狮,CarModel
风光S560,CarModel
多利卡,CarModel
逸动XT,CarModel
辉腾,CarModel
长安欧尚X7 PLUS,CarModel
微蓝6,CarModel
长安神骐T20,CarModel
蓝瑟,CarModel
猎豹CS10,CarModel
奔腾T33,CarModel
传祺GA8,CarModel
理想ONE,CarModel
众泰SR9,CarModel
红旗H7,CarModel
东南DX3,CarModel
睿骋CC,CarModel
宝马X6,CarModel
途睿欧,CarModel
宝骏RM-5,CarModel
传祺GE3,CarModel
思迪,CarModel
景逸X5,CarModel
奥迪A6,CarModel
欧拉好猫GT,CarModel
奥铃,CarModel
雷克萨斯RX,CarModel
悦翔V3,CarModel
长安之星,CarModel
瑞迈,CarModel
瑞虎5,CarModel
解放J6M,CarModel
海马骑士,CarModel
奔奔,CarModel
海马S5,CarModel
指挥官,CarModel
宝骏310,CarModel
驭胜S350,CarModel
思皓曜,CarModel
蔚来ES6,CarModel
景逸,CarModel
逸致,CarModel
长安欧尚科赛,CarModel
揽胜极光（进口）,CarModel
AION S Plus,CarModel
瑞虎,CarModel
比亚迪F6,CarModel
凯迪拉克CTS（进口）,CarModel
夏利N5,CarModel
名爵3,CarModel
幻速H5,CarModel
撼路者,CarModel
依维柯褒迪,CarModel
轩逸·纯电,CarModel
宝骏630,CarModel
瑞风M5,CarModel
风光370,CarModel
英菲尼迪QX60,CarModel
宝沃BX5,CarModel
传祺GS5,CarModel
英菲尼迪FX,CarModel
缤越新能源,CarModel
北汽新能源EC5,CarModel
狮跑,CarModel
贵士,CarModel
五菱荣光小卡,CarModel
解放J6P,CarModel
祺智EV,CarModel
祥菱S,CarModel
菱智,CarModel
雪铁龙C2,CarModel
卡罗拉双擎E+,CarModel
志俊,CarModel
K5,CarModel
长安星卡C系,CarModel
阻值,Feature
派喜,CarModel
东风小康EC36,CarModel
优6 SUV,CarModel
沃尔沃XC40,CarModel
优劲,CarModel
天语SX4,CarModel
雷凌双擎E+,CarModel
奥丁,CarModel
途观X,CarModel
风景G9,CarModel
风神E70,CarModel
陆风X7,CarModel
马自达6,CarModel
北京BJ80,CarModel
昌河Q25,CarModel
启辰大V,CarModel
奔驰M级,CarModel
威虎,CarModel
骏铃,CarModel
启辰T70,CarModel
思皓A5,CarModel
上汽大通MAXUS EV30,CarModel
幻速S3,CarModel
西玛CIMA,CarModel
腾势,CarModel
宝马X4,CarModel
蔚来ES8,CarModel
星途TX,CarModel
广汽丰田iA5,CarModel
绎乐,CarModel
昂科雷,CarModel
观致7,CarModel
林荫大道,CarModel
哈弗H8,CarModel
